POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.9199999999999999,0.03,4000,5,19,389,54
100,0.9099999999999999,0.03,4000,5,30,472,59
100,0.8999999999999999,0.03,4000,5,30,466,55
100,0.8899999999999999,0.03,4000,5,17,338,51
100,0.8799999999999999,0.03,4000,5,23,470,70
100,0.8699999999999999,0.03,4000,5,16,292,55
100,0.8599999999999999,0.03,4000,5,25,522,65
100,0.8499999999999999,0.03,4000,5,21,355,51
100,0.8399999999999999,0.03,4000,5,23,419,64
100,0.8299999999999998,0.03,4000,5,31,454,60
100,0.8199999999999998,0.03,4000,5,27,491,66
100,0.8099999999999998,0.03,4000,5,29,495,71
100,0.7999999999999998,0.03,4000,5,34,515,71
100,0.7899999999999998,0.03,4000,5,23,519,63
100,0.7799999999999998,0.03,4000,5,27,511,64
100,0.7699999999999998,0.03,4000,5,25,592,80
100,0.7599999999999998,0.03,4000,5,31,609,67
100,0.7499999999999998,0.03,4000,5,22,507,63
100,0.7399999999999998,0.03,4000,5,26,623,57
100,0.7299999999999998,0.03,4000,5,19,340,55
100,0.7199999999999998,0.03,4000,5,29,713,95
100,0.7099999999999997,0.03,4000,5,16,334,53
100,0.6999999999999997,0.03,4000,5,16,330,37
100,0.6899999999999997,0.03,4000,5,24,522,68
100,0.6799999999999997,0.03,4000,5,34,895,77
100,0.6699999999999997,0.03,4000,5,20,299,49
100,0.6599999999999997,0.03,4000,5,23,394,50
100,0.6499999999999997,0.03,4000,5,25,507,53
100,0.6399999999999997,0.03,4000,5,19,459,59
100,0.6299999999999997,0.03,4000,5,36,576,59
100,0.6199999999999997,0.03,4000,5,17,408,62
100,0.6099999999999997,0.03,4000,5,19,409,56
100,0.5999999999999996,0.03,4000,5,16,338,44
100,0.5899999999999996,0.03,4000,5,25,623,83
100,0.5799999999999996,0.03,4000,5,25,557,63
100,0.5699999999999996,0.03,4000,5,21,468,63
100,0.5599999999999996,0.03,4000,5,23,384,43
100,0.5499999999999996,0.03,4000,5,29,571,61
100,0.5399999999999996,0.03,4000,5,19,388,50
100,0.5299999999999996,0.03,4000,5,32,619,56
100,0.5199999999999996,0.03,4000,5,18,366,48
100,0.5099999999999996,0.03,4000,5,28,440,53
100,0.49999999999999956,0.03,4000,5,24,516,64
100,0.48999999999999955,0.03,4000,5,21,453,70
100,0.47999999999999954,0.03,4000,5,26,402,46
100,0.46999999999999953,0.03,4000,5,31,624,62
100,0.4599999999999995,0.03,4000,5,18,401,54
100,0.4499999999999995,0.03,4000,5,21,448,57
100,0.4399999999999995,0.03,4000,5,17,256,49
100,0.4299999999999995,0.03,4000,5,10016,380,53
100,0.4199999999999995,0.03,4000,5,23,609,65
100,0.4099999999999995,0.03,4000,5,23,483,49
100,0.39999999999999947,0.03,4000,5,37,961,65
100,0.38999999999999946,0.03,4000,5,18,379,46
100,0.37999999999999945,0.03,4000,5,31,716,83
100,0.36999999999999944,0.03,4000,5,28,487,50
100,0.35999999999999943,0.03,4000,5,19,314,35
100,0.3499999999999994,0.03,4000,5,20,356,45
100,0.3399999999999994,0.03,4000,5,24,501,63
100,0.3299999999999994,0.03,4000,5,24,448,54
100,0.3199999999999994,0.03,4000,5,17,386,59
100,0.3099999999999994,0.03,4000,5,24,592,64
100,0.2999999999999994,0.03,4000,5,22,417,58
100,0.28999999999999937,0.03,4000,5,25,459,58
100,0.27999999999999936,0.03,4000,5,23,358,43
100,0.26999999999999935,0.03,4000,5,17,447,57
100,0.25999999999999934,0.03,4000,5,31,505,61
100,0.24999999999999933,0.03,4000,5,33,1067,79
100,0.23999999999999932,0.03,4000,5,31,490,35
100,0.22999999999999932,0.03,4000,5,23,542,71
100,0.2199999999999993,0.03,4000,5,17,306,42
100,0.2099999999999993,0.03,4000,5,22,466,58
100,0.1999999999999993,0.03,4000,5,17,412,62
100,0.18999999999999928,0.03,4000,5,35,867,54
100,0.17999999999999927,0.03,4000,5,17,387,54
100,0.16999999999999926,0.03,4000,5,27,578,51
100,0.15999999999999925,0.03,4000,5,28,677,72
100,0.14999999999999925,0.03,4000,5,31,550,58
100,0.13999999999999924,0.03,4000,5,27,502,64
100,0.12999999999999923,0.03,4000,5,38,744,67
100,0.11999999999999923,0.03,4000,5,24,642,60
100,0.10999999999999924,0.03,4000,5,30,730,100
100,0.09999999999999924,0.03,4000,5,23,446,51
100,0.08999999999999925,0.03,4000,5,22,397,49
100,0.07999999999999925,0.03,4000,5,16,294,40
100,0.06999999999999926,0.03,4000,5,19,351,47
100,0.059999999999999255,0.03,4000,5,30,576,58
100,0.04999999999999925,0.03,4000,5,30,622,64
100,0.03999999999999925,0.03,4000,5,35,527,44
100,0.02999999999999925,0.03,4000,5,33,824,83
100,0.019999999999999248,0.03,4000,5,18,398,57
100,0.009999999999999247,0.03,4000,5,26,481,44
100,0.95,0.03,4000,5,25,412,48
100,0.94,0.03,4000,5,22,474,71
100,0.9299999999999999,0.03,4000,5,26,432,53
100,0.9199999999999999,0.03,4000,5,19,389,54
100,0.9099999999999999,0.03,4000,5,30,472,59
100,0.8999999999999999,0.03,4000,5,30,466,55
100,0.8899999999999999,0.03,4000,5,17,338,51
100,0.8799999999999999,0.03,4000,5,23,470,70
100,0.8699999999999999,0.03,4000,5,16,292,55
100,0.8599999999999999,0.03,4000,5,25,522,65
100,0.8499999999999999,0.03,4000,5,21,355,51
100,0.8399999999999999,0.03,4000,5,23,419,64
100,0.8299999999999998,0.03,4000,5,31,454,60
100,0.8199999999999998,0.03,4000,5,27,491,66
100,0.8099999999999998,0.03,4000,5,29,495,71
100,0.7999999999999998,0.03,4000,5,34,515,71
